photo,stage,run,metric,panel,level,along,across,grout,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,merged,reassigned,ms
gull,do,15x15-Draft-c12,Cie76,15x15,Draft,6,21,1,50,PlateThickness,378,329,0.8704,0.5714,0.0003,0.7437,0.3449,0.0004,0.3717,0.7192,1.0714,1.8087,2.1796,0.003,0,0.003,0.0902,26,0.2308,8,0.076,4.8919,0,0.0699,15.1005,0.4,4.9559,7.9989,27.3358,22,12,2,0.4772,14.9911,0.0532,0.3458,24,524
gull,do,21x29.7-Draft-c12,Cie76,21x29.7,Draft,6,30,1,50,PlateThickness,1110,898,0.809,0.6047,0.0008,0.7478,0.4877,0.0006,0.3924,0.6785,1.1182,1.9285,2.3792,0.0011,0,0.0156,0.0757,77,0.2597,6,0.059,4.9078,0,0.0557,19.7271,0.1,4.9305,8.9124,28.5401,41,12,0,0.4521,12.4501,0.0412,0.4047,131,605
gull,do,30x30-Draft-c12,Cie76,30x30,Draft,6,43,1,50,PlateThickness,1591,1374,0.8636,0.6528,0.0002,0.7399,0.4286,0.0005,0.3844,0.7096,1.0693,1.8879,2.3219,0.0007,0,0.0095,0.0573,86,0.1628,9,0.0539,4.819,0,0.0691,20.0297,0.4118,5.181,9.1311,33.1521,41,12,0,0.4243,2.541,0.0583,0.3853,139,699
dolphin,do,15x15-Draft-c12,Cie76,15x15,Draft,6,21,1,50,PlateThickness,378,356,0.9418,0.6039,0.0016,0.7257,0.4286,0.0012,0.3078,0.6676,1.0113,1.4647,2.081,0.0056,0,0.014,0.1423,34,0.2941,5,0.0815,4.8668,0,0.0702,32.746,0.4,10.5109,15.6059,21.6435,24,12,0,0.191,9.5764,0.028,0.4633,42,347
dolphin,do,21x29.7-Draft-c12,Cie76,21x29.7,Draft,6,30,1,50,PlateThickness,1110,968,0.8721,0.6415,0.0005,0.7389,0.4286,0.0009,0.3162,0.689,1.0753,1.7134,2.3062,0.0031,0,0.0134,0.0827,88,0.2955,5,0.064,4.9734,0,0.0568,20.7545,0.25,12.7944,21.3184,26.11,27,12,0,0.1353,10.4138,0.0316,0.5308,143,521
dolphin,do,30x30-Draft-c12,Cie76,30x30,Draft,6,43,1,50,PlateThickness,1591,1560,0.9805,0.7282,0.0004,0.7207,0.4877,0.0011,0.4264,0.6546,0.9446,1.5013,2.0374,0,0,0.0058,0.0489,108,0.2037,7,0.0564,4.6641,0,0.1122,31.1382,0.2308,10.884,16.2754,26.1099,31,12,0,0.1878,10.4138,0.0449,0.551,241,692
landscape,do,15x15-Draft-c12,Cie76,15x15,Draft,6,21,1,50,PlateThickness,378,329,0.8704,0.5471,0.0003,0.7443,0.4041,0.0007,0.3519,0.6739,1.0714,1.6649,1.8301,0.0091,0.003,0.0061,0.0714,29,0.1034,6,0.0608,4.9583,0,0.0578,14.8111,0.125,13.1229,22.034,28.9271,35,12,0,0.2249,4.5153,0.0845,0.4762,100,341
landscape,do,21x29.7-Draft-c12,Cie76,21x29.7,Draft,6,30,1,50,PlateThickness,1110,944,0.8505,0.6769,0.0003,0.7453,0.4286,0.0005,0.3512,0.7022,1.0753,1.8955,2.0365,0.0011,0.0011,0.0106,0.0696,81,0.1605,7,0.0593,5.1123,0,0.0381,16.6384,0.3214,12.0213,22.7816,32.398,57,12,0,0.2617,11.91,0.0164,0.5285,368,549
landscape,do,30x30-Draft-c12,Cie76,30x30,Draft,6,43,1,50,PlateThickness,1591,1367,0.8592,0.6993,0.0005,0.7449,0.5469,0.0006,0.2875,0.645,1.0747,1.8951,2.2581,0.0124,0,0.0146,0.0513,105,0.181,8,0.0541,4.714,0,0.0988,18.6809,0.1951,13.3825,25.1443,33.1082,61,12,0,0.2224,1.4962,0.0263,0.5755,510,661
gull,posle,15x15-Draft-c12,Cie76,15x15,Draft,6,21,1,50,PlateThickness,378,329,0.8704,0.5714,0.0003,0.7437,0.3449,0.0004,0.3717,0.7192,1.0714,1.8087,2.1796,0.003,0,0.003,0.0902,26,0.2308,8,0.076,4.8919,0,0.0699,15.1005,0.4,5.5137,12.9738,26.3797,27,12,1,0.5167,5.0591,0.043,0.3619,27,502
